,sub,motion
0,sub-RC4101,2.3136835
1,sub-RC4128,2.3543956
2,sub-RC4220,2.0557277
3,sub-RC4103,2.9109216
4,sub-RC4118,2.5374672
5,sub-RC4110,2.942408
0,sub-RC4217,3.4713047
1,sub-RC4116,2.553211
2,sub-RC4224,2.4269793
3,sub-RC4114,3.177995
4,sub-RC4206,2.485158
5,sub-RC4122,3.0857208
0,sub-RC4225,3.037153
1,sub-RC4125,2.7340572
2,sub-RC4227,3.419503
3,sub-RC4226,2.655543
4,sub-RC4121,1.5503032
5,sub-RC4115,2.9976983
0,sub-RC4129,2.061003
1,sub-RC4211,2.641571
2,sub-RC4204,1.9086304
3,sub-RC4117,1.6820236
4,sub-RC4130,2.490185
5,sub-RC4109,1.8281698
0,sub-RC4113,2.1130695
1,sub-RC4219,2.01183
2,sub-RC4119,2.6392133
3,sub-RC4218,2.3580735
4,sub-RC4111,2.6044729
5,sub-RC4126,2.9046981
0,sub-RC4201,2.2612293
1,sub-RC4112,3.2691674
2,sub-RC4106,2.218195
3,sub-RC4131,2.8953953
4,sub-RC4210,2.4288101
5,sub-RC4205,2.651208
0,sub-RC4123,2.6312513
1,sub-RC4208,2.3106487
2,sub-RC4215,2.6461759
3,sub-RC4213,2.1796098
4,sub-RC4120,3.4675524
5,sub-RC4214,2.153254
0,sub-RC4207,1.6105584
1,sub-RC4212,1.73169
2,sub-RC4107,2.4796884
3,sub-RC4221,2.3731415
